state,facility,district,block,,,
Punjab,HWC Kanpur,Pathankot,Bungal Badhani,,,
Punjab,HWC Dung,Pathankot,Bungal Badhani,,,
Punjab,HWC Bhamlada,Pathankot,Bungal Badhani,,,
Maharashtra,HWC Tetali,Satara,Jaoli,,,
Maharashtra,HWC Chitali,Satara,Khatav,,,
Maharashtra,HWC Gursale,Satara,Khatav,,,
Maharashtra,HWC Mhasurne,Satara,Khatav,,,
Maharashtra,HWC Pedgaon,Satara,Khatav,,,
Maharashtra,HWC Chorade,Satara,Khatav,,,
Maharashtra,HWC Visapur,Satara,Khatav,,,
Maharashtra,HWC Nidhal,Satara,Khatav,,,
Maharashtra,HWC Kalambi,Satara,Khatav,,,
Maharashtra,HWC Mograle,Satara,Man,,,
Maharashtra,HWC Bidal,Satara,Man,,,
Maharashtra,HWC Pawarwadi,Satara,Phaltan,,,
Maharashtra,HWC Var Mhaswad,Satara,Man,,,
Maharashtra,HWC Lodhawade,Satara,Man,,,
Maharashtra,HWC Ranand,Satara,Man,,,
Maharashtra,HWC Wathar Nimbalkar,Satara,Phaltan,,,
Maharashtra,HWC Vidani,Satara,Phaltan,,,
Maharashtra,HWC Nandal,Satara,Phaltan,,,
Maharashtra,HWC Kalaj,Satara,Phaltan,,,
Maharashtra,HWC Hatageghar,Satara,Jaoli,,,
Maharashtra,HWC Songaon,Satara,Jaoli,,,
Maharashtra,HWC Injbav,Satara,Man,,,
Maharashtra,HWC Budh,Satara,Khatav,,,
Maharashtra,HWC Bhilar,Satara,Mahableshwar,,,
Maharashtra,HWC Divad,Satara,Man,,,
Maharashtra,HWC Narawane,Satara,Man,,,
Maharashtra,HWC Mahimangarh,Satara,Man,,,
Maharashtra,HWC Aandrud,Satara,Phaltan,,,
Maharashtra,HWC Kolaki,Satara,Phaltan,,,
Maharashtra,HWC Somanthali,Satara,Phaltan,,,
Maharashtra,HWC Mathawadi,Satara,Phaltan,,,
Maharashtra,HWC Kenjal,Satara,Wai,,,
Maharashtra,HWC Pasarni,Satara,Wai,,,
Maharashtra,HWC Velang,Satara,Wai,,,
Maharashtra,PHC Vadgaon Haveli,Satara,Karad,,,
Maharashtra,UHC Kasturba,Satara,Satara,,,
Maharashtra,HWC Gondawale,Satara,Man,,,
Maharashtra,HWC Gunaware,Satara,Phaltan,,,
Maharashtra,HWC Hingangaon,Satara,Phaltan,,,
Maharashtra,HWC Shendurjane,Satara,Wai,,,
Maharashtra,CH Satara,Satara,Satara,,,
Maharashtra,HWC Lalgun,Satara,Khatav,,,
Maharashtra,HWC Katgun,Satara,Khatav,,,
Maharashtra,HWC Shingnapur,Satara,Man,,,
Maharashtra,HWC Vavarhire,Satara,Man,,,
Maharashtra,HWC Algudewadi,Satara,Phaltan,,,
Maharashtra,PHC Satara Road,Satara,Koregaon,,,
Maharashtra,HWC Udtare,Satara,Wai,,,
Maharashtra,HWC Kikali,Satara,Wai,,,
Maharashtra,HWC Pachwad,Satara,Wai,,,
Maharashtra,HWC Girye (PHC Padel),Devgad,Sindhudurg,,,
Maharashtra,HWC Kunkeshwar (PHC Mithbav),Devgad,Sindhudurg,,,
Maharashtra,HWC Ubhadanda 2 (PHC Tulas),vengurla,Sindhudurg,,,
Maharashtra,HWC Vetore (PHC Adeli),vengurla,Sindhudurg,,,
Maharashtra,HWC Banda No.1(PHC Banda),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Ajgaon (PHC Malewad),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Aayee (PHC Morgaon),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Kelus (PHC Parule),vengurla,Sindhudurg,,,
Maharashtra,HWC Kochara (PHC Parule),vengurla,Sindhudurg,,,
Maharashtra,HWC Chowkul (PHC Amboli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Talawane(PHC Malewad),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Matond(PHC Tulas),vengurla,Sindhudurg,,,
Maharashtra,HWC Amboli (PHC Amboli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Danoli (PHC Amboli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Kariwade (PHC Sangeli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Kunkeri(PHC Sangeli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Kolgaon (PHC Sangeli),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Otavane (PHC Nirvade),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Pombhurle (PHC Phanasgaon),Devgad,Sindhudurg,,,
Maharashtra,HWC Kunkuwan(PHC Phanasgaon),Devgad,Sindhudurg,,,
Maharashtra,HWC Kinjawade (PHC Shirgaon),Devgad,Sindhudurg,,,
Maharashtra,HWC Hindale( PHC Mithbav),Devgad,Sindhudurg,,,
Maharashtra,HWC Katta (PHC Elaye),Devgad,Sindhudurg,,,
Maharashtra,HWC Majgaon (PHC Niravade),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Mutat (PHC Mond),Devgad,Sindhudurg,,,
Maharashtra,HWC Nadan (PHC Mond),Devgad,Sindhudurg,,,
Maharashtra,HWC Ombal (PHC Shirgaon),Devgad,Sindhudurg,,,
Maharashtra,HWC Saragave (PHC sateli Bhedashi ),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Tambuli (PHC Talkat),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Tirlot (PHC Padel),Devgad,Sindhudurg,,,
Maharashtra,HWC Kudase (PHC Talkat),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Kolzar (PHC Talkat),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Tiroda (PHC Malewad),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Undil (PHC Phanasgaon),Devgad,Sindhudurg,,,
Maharashtra,HWC Vilawade (PHC Talkat),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Netarde (PHC Banda),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Talawade No.1(PHC Niravade),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Insuli (PHC Banda),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Kalane (PHC Morgaon),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Dabhole (PHC Elaye),Devgad,Sindhudurg,,,
Maharashtra,HWC Zolmbe (PHC Talkat),Dodamarg,Sindhudurg,,,
Maharashtra,HWC Elaye (PHC Elaye),Devgad,Sindhudurg,,,
Maharashtra,HWC Baparde (PHC Mond),Devgad,Sindhudurg,,,
Maharashtra,HWC Sherle (PHC Banda),Sawantwadi,Sindhudurg,,,
Maharashtra,HWC Vijayadurg (PHC Padel),Devgad,Sindhudurg,,,
Maharashtra,PHC Allipur HWC Arvi Lahan,Wardha,Hinganghat,,,
Maharashtra,PHC Kannamwar Gram HWC Sawali Khrud,Wardha,Karanja,,,
Maharashtra,PHC Zadshi HWC Akoli,Wardha,Seloo,,,
Maharashtra,RH Ashti,Wardha,Ashti,,,
Maharashtra,PHC Burkoni HWC Chincholi,Wardha,Hinganghat,,,
Maharashtra,PHC Mandgaon HWC Ubda,Wardha,Samudrapur,,,
Maharashtra,PHC Sindirailway HWC Jungad,Wardha,Seloo,,,
Maharashtra,PHC Sahur HWC Belora,Wardha,Ashti,,,
Maharashtra,PHC Antora,Wardha,Ashti,,,
Maharashtra,PHC Burkoni HWC Chincholi,Wardha,Hinganghat,,,
Maharashtra,PHC Dahegaon Gosai HWC Kolgaon,Wardha,Seloo,,,
Maharashtra,PHC Burkoni HWC Kingaon,Wardha,Hinganghat,,,
Maharashtra,PHC Kharangana Morangana HWC Dahegaon,Wardha,Arvi,,,
Maharashtra,PHC Girad HWC Peth,Wardha,Samudrapur,,,
Maharashtra,PHC Sahur HWC Tarasawanga,Wardha,Ashti,,,
Maharashtra,PHC Kharangana Mo HWC Dahegaon,Wardha,Arvi,,,
Maharashtra,PHC Deoli HWC Dighi,Wardha,Deoli,,,
Maharashtra,PHC Kharangana Gode HWC Madani,Wardha,Wardha,,,
Maharashtra,PHC Anji HWC Nalwadi,Wardha,Wardha,,,
Maharashtra,PHC Sarwadi HWC Nandpur,Wardha,Karanja,,,
Maharashtra,PHC Rohana HWC Saldhara,Wardha,Arvi,,,
Maharashtra,PHC Hamadapur HWC Palsgaon Bai,Wardha,Seloo,,,
Maharashtra,PHC Rohana HWC Rasulabad,Wardha,Arvi,,,
Maharashtra,PHC Kharangana Gode HWC Karanji Bhoge,Wardha,Wardha,,,
Maharashtra,PHC Anji HWC Mandwa,Wardha,Wardha,,,
Maharashtra,PHC Gaul HWC Kharda,Wardha,Deoli,,,
Maharashtra,PHC Girad Piplgaon,Wardha,Samudrapur,,,
Maharashtra,PHC Kharangana MO HWC Malegaon kali,Wardha,Arvi,,,
Maharashtra,PHC Kannamwar gram HWC Umri,Wardha,Karanja,,,
Maharashtra,PHC Mandgaon HWC Shedgaon,Wardha,Samudrapur,,,
Maharashtra,PHC Burkoni HWC Piplgaon,Wardha,Hinganghat,,,
Maharashtra,PHC Sahur HWC Borgaon,Wardha,Ashti,,,
Maharashtra,PHC Antora HWC Talegaon,Wardha,Ashti,,,
Maharashtra,PHC Deoli HWC Nagzari,Wardha,Deoli,,,
Maharashtra,PHC Allipur HWC Yerla,Wardha,Hinganghat,,,
Maharashtra,HWC Dhivaripipri,Wardha,Arvi,,,
Maharashtra,PHC Sahur HWC Thar,Wardha,Karanja,,,
Maharashtra,PHC Hamdapur HWC Palasgaon Bai,Wardha,Wardha,,,
Maharashtra,PHC Deoli HWC Nandora,Wardha,Deoli,,,
Maharashtra,PHC Anji HWC Mahakal,Wardha,Wardha,,,
Maharashtra,PHC Deoli HWC Sonegaon,Wardha,Deoli,,,
Maharashtra,PHC Kannamwargram HWC Sindi Vihiri,Wardha,Karanja,,,
Maharashtra,PHC Girad HWC Pimpalgaon,Wardha,Samudrapur,,,
Maharashtra,PHC Girad HWC Pipri,Wardha,Samudrapur,,,
Maharashtra,PHC Talegaon HWC Waigaon Nipani,Wardha,Wardha,,,
Maharashtra,PHC Gaul HWC Andori,Wardha,Deoli,,,
Maharashtra,PHC Kangaon HWC Mozari,Wardha,Hinganghat,,,
Maharashtra,PHC Sindirailway HWC Kelzar,Wardha,Seloo,,,
Maharashtra,PHC Kangaon HWC Kosurla,Wardha,Hinganghat,,,
Maharashtra,HWC Wasi,Wardha,Hinganghat,,,
Maharashtra,PHC Talegaon Talatulli HWC Jaulgaon,Wardha,Wardha,,,
Maharashtra,PHC Nachangaon HWC Kawatha,Wardha,Deoli,,,
Maharashtra,PHC Kangaon HWC Ajansara,Wardha,Hinganghat,,,
Maharashtra,PHC Nanduri HWC Waigaon Gond,Wardha,Hinganghat,,,
Maharashtra,PHC Rohana HWC Bothli,Wardha,Arvi,,,
Maharashtra,HWC Nara,Wardha,Karanja,,,
Maharashtra,PHC Mandgaon HWC Ramnagar,Wardha,Samudrapur,,,
Maharashtra,HWC Umri Meghe,Wardha,Wardha,,,
Maharashtra,PHC Rohana HWC Virul,Wardha,Arvi,,,
Maharashtra,PHC Zadshi HWC Yelakeli,Wardha,Seloo,,,
Maharashtra,PHC Kharangana Morangana HWC Bedhona,Wardha,Arvi,,,
Maharashtra,PHC Jalgaon HWC Sawalapur,Wardha,Arvi,,,
Maharashtra,PHC Jalgaon HWC Thakarkehda,Wardha,Arvi,,,
Maharashtra,PHC jalgaon HWC Wardhmaneri,Wardha,Arvi,,,
Maharashtra,PHC Mandgaon HWC Bothuda,Wardha,Samudrapur,,,
Maharashtra,PHC Giroli HWC Adegaon,Wardha,Deoli,,,
Maharashtra,PHC Rohana HWC Dhanodi,Wardha,Arvi,,,
Maharashtra,PHC Salaikala HWC Ghorad,Wardha,Seloo,,,
Maharashtra,PHC Rohana HWC Pachod,Wardha,Arvi,,,
Maharashtra,PHC Kharangana Mo HWC Panwadi,Wardha,Arvi,,,
Maharashtra,PHC Nandori HWC Parda,Wardha,Hinganghat,,,
Maharashtra,PHC Kannamwargram HWC Kajali,Wardha,Karanja,,,
Maharashtra,PHC Antora HWC Peth Ashti,Wardha,Ashti,,,
Maharashtra,PHC Burkoni HWC Satefal,Wardha,Hinganghat,,,
Maharashtra,PHC SindiRailway HWC Seldhov,Wardha,Seloo,,,
Maharashtra,PHC Dahegaon HWC Sukali,Wardha,Seloo,,,
Maharashtra,PHC Kannamwar Gram HWC Thanegaon,Wardha,Karanja,,,
Maharashtra,PHC Waifad HWC Zadgaon,Wardha,Wardha,,,
Maharashtra,PHC Jalgaon HWC Shirpur,Wardha,Arvi,,,
Maharashtra,PHC Jalgaon HWC Khubgaon,Wardha,Arvi,,,
Maharashtra,SDH Hinganghat,Wardha,Hinganghat,,,
Maharashtra,HWC Pipri,Wardha,Wardha,,,
Maharashtra,HWC Pipri Allipur,Wardha,Hinganghat,,,
Maharashtra,PHC Salaikala HWC Mohi,Wardha,Seloo,,,
Maharashtra,PHC Sarwadi HWC Chopan,Wardha,Karanja,,,
Maharashtra,PHC Nandori HWC Jam,Wardha,Hinganghat,,,
Maharashtra,PHC Kharangana Gode HWC Taroda,Wardha,Wardha,,,
Maharashtra,PHC Nandori HWC Waigaon Halda,Wardha,Hinganghat,,,
Maharashtra,PHC Anji HWC Pawnar,Wardha,Wardha,,,
Maharashtra,PHC Kangaon HWC Sirasgaon,Wardha,Hinganghat,,,
Maharashtra,PHC Nachangaon HWC Sonora Thok,Wardha,Deoli,,,
Maharashtra,PHC Hamdapur HWC Chanki,Wardha,Seloo,,,
Maharashtra,PHC Antora HWC Chistur,Wardha,Ashti,,,
Maharashtra,PHC Kharangana Mo HWC Pipalkhuta,Wardha,Arvi,,,
Maharashtra,PHC Jalgaon HWC Durwada,Wardha,Arvi,,,
Maharashtra,PHC Vijaygopal HWC Rohani,Wardha,Deoli,,,
Maharashtra,PH C Allipur HWC Shirud,Wardha,Hinganghat,,,
Maharashtra,PHC Talegaon HWC Wadad,Wardha,Wardha,,,
