facility_id,district,block
1531b054-7236-4088-b9c3-66d66cca7490,Krishna,Gudivada
101e582d-7395-4d0f-940f-ec43347f364e,NTR,Tiruvuru
c6fff10c-33ed-4882-8a73-d61a25dc2bae,Krishna,Gudivada
1d595698-20a2-4cfa-8fbf-6c57e803bc6f,Eluru,Nuzividu
b49d1991-c2de-48eb-9512-63d83fff6e2f,Krishna,Gudivada
5517e1fa-83b6-4e5e-9343-9acf12b0583c,NTR,Tiruvuru
f03644a6-32d3-4dfc-817a-f29f3add0639,Eluru,Nuzividu
96b40bdc-edc3-44b8-adbe-1a71e64c24d7,Krishna,Gudivada
93501fc6-746a-4e08-bd9b-36f8872ec87b,Eluru,Nuzividu
c99ec79d-9ef7-4be9-8b42-71b86c5d5544,NTR,Tiruvuru
6df498bd-3ca6-406f-aae8-b1c51cd71bbf,NTR,Tiruvuru
b5318b4b-4748-4b55-adb7-d78c5e285f54,Krishna,Gudivada
a6b7a2f7-0a7d-4dd4-af83-abac2ff4b5ce,NTR,Tiruvuru
7cb71e89-0ace-4b3f-889d-9a9c4a1ed528,NTR,Tiruvuru
cea9e374-3a37-479d-86cb-751b7d7f796c,Eluru,Nuzividu
25f2908f-839e-4b10-b688-9b41905371e1,NTR,Tiruvuru
9335e6a4-4279-412e-a08b-b66bdf7783c6,NTR,Tiruvuru
1525949b-6eb7-400f-8a81-33c108cd3227,NTR,Tiruvuru
8e70bca4-6aed-40d4-bbc6-473bfc63cfa0,Eluru,Nuzividu
e43097c1-cc09-4ca6-aa40-952084305a83,Krishna,Vuyyuru
870b3a6f-137e-4805-877c-5df4a25d6716,NTR,Tiruvuru
d6938be6-da02-4e86-99e4-0f8ba1df2adf,Krishna,Gudivada
18d22f6c-32f3-4c7b-a527-69e5e98c80e7,Krishna,Vuyyuru
aafd27a3-5394-46d3-98e4-8ab7d514bdf4,Krishna,Vuyyuru
efca14c0-5ba6-4745-9041-7c2b598e2fd2,NTR,Tiruvuru
4c7160c0-b419-431e-976c-faeacccf2fa3,NTR,Tiruvuru
e8b6d3e1-f7bc-4659-9fbb-e05449d88ea6,Eluru,Nuzividu
81fcd5bb-44c6-4293-ad66-4287f4a9b998,Eluru,Nuzividu
a708cbdb-64e0-437c-930e-fac223b4458b,NTR,Tiruvuru
beebce6d-a4d5-4819-a95e-15a526d1982f,NTR,Tiruvuru
b6a33b5c-64f0-4dd3-81f0-6bcce2dcfdc2,NTR,Tiruvuru
d8732bd2-8981-4366-9c29-020f3400d2cf,Krishna,Vuyyuru
166ec093-518f-42a5-8075-517639b189c5,Krishna,Vuyyuru
586d5ad4-bbba-4626-9936-2fcc0cd5d171,Eluru,Eluru
b1698955-bb24-4d4b-87dc-af26946bb0ce,Eluru,Eluru
cb44b25e-5bab-4546-b974-3c4f4e110528,NTR,Tiruvuru
5f9841b6-cd4a-4f73-8709-f06acb31afae,Krishna,Gudivada
b84bbf3c-383b-4e7b-ad3b-fdc73df749c4,Eluru,Nuzividu
6bbd5fd2-5d5b-49f0-a883-d0002dfc6f42,Eluru,Nuzividu
8ce28a83-b3fa-4b2e-91e3-e70221674e5b,NTR,Tiruvuru
33b4c45f-ab9f-4f9e-89aa-43f232e85887,NTR,Tiruvuru
9cb8115e-5e4a-4fda-95d8-4288edcaa2e7,Krishna,Vuyyuru
ac3b05b3-3873-4d2f-ae47-ac5b34f5f9ce,Eluru,Nuzividu
a0852ee3-a585-409a-bd0f-1728e6a0aed7,Krishna,Gudivada
8fde804f-cf2b-4b1a-808c-e5bf825fca63,Eluru,Nuzividu
cb56c0e7-62c2-4231-8485-29ed25f6106b,Eluru,Nuzividu
f80f1419-f7f7-4287-a00e-028567629908,Eluru,Nuzividu
d7737ee9-0f2d-40d0-8dd0-219e6cfc0af1,NTR,Tiruvuru
d8243619-f915-4035-aa20-64b2b5584a0c,Eluru,Nuzividu
ce5c89d7-e0e7-444f-aff0-a0f9ff90b5d5,Eluru,Nuzividu
93d2f2a7-fbeb-433b-adf1-7275583a73ae,Krishna,Gudivada
7c68fb1c-0e10-469c-abb0-fad40af0efaf,NTR,Tiruvuru
23fe53b4-14f4-49bb-bfd2-aa82d79a5370,Eluru,Nuzividu
1e4c1dd2-f599-41ee-9506-d28c42ee8b54,NTR,Vijayawada
67747932-84db-4b6e-84b4-bc8f0cd5c146,NTR,Tiruvuru
080dc11e-de2d-47ac-835f-1f986c6fbbda,Eluru,Nuzividu
86b7a6f1-744f-416e-98c5-afe9a45967d7,Krishna,Vuyyuru
f582a5bc-cf59-4f7f-899b-006b9a7de777,Eluru,Nuzividu
1b9ed0bf-d4be-4a25-86b5-91367b2ff9c6,Krishna,Gudivada
70f9b628-5aea-4da8-9849-d518c5e59364,NTR,Tiruvuru
351e4625-859e-460e-abcb-7ba747874c29,Eluru,Nuzividu
4ed9980c-0547-4657-b37a-e9de86a34d9d,NTR,Tiruvuru
ebc59b55-a006-40a6-98ab-8ebc66e9cd0a,NTR,Tiruvuru
